Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
59,4,3.299973,18,94
61,-1,4.203870,19,0
60,0,4.105107,17,84
60,1,3.706696,16,82
61,0,3.784556,20,91
59,5,3.204106,17,92
60,2,3.521090,17,70
59,6,2.985620,16,92
61,1,3.376227,20,91
60,3,3.232891,17,83
59,7,2.969153,16,90
60,4,3.077696,17,82
61,2,3.233031,19,92
59,8,2.960204,15,91
60,5,2.984830,16,77
61,3,3.119125,18,91
59,9,2.943309,14,90
60,6,2.882098,15,90
59,10,2.930511,13,84
61,4,3.018637,17,88
60,7,2.812971,14,82
59,11,2.917672,13,89
60,8,2.794438,14,80
61,5,2.919812,16,83
59,12,2.913358,12,83
60,9,2.784195,13,83
61,6,2.830686,15,92
59,13,2.911853,11,86
60,10,2.773949,12,86
59,14,2.906361,11,76
62,-1,4.447420,18,0
61,7,2.756208,14,87
59,15,2.881827,11,84
61,8,2.746728,13,85
59,16,2.870832,10,85
62,0,3.544197,19,86
59,17,2.854817,10,80
61,9,2.737988,12,85
59,18,2.767588,10,80
61,10,2.729360,11,85
59,19,2.761981,9,81
62,1,3.477387,19,89
63,-1,3.926283,20,0
61,11,2.726621,10,86
61,12,2.725188,10,78
62,2,3.352435,18,88
63,0,3.580508,19,93
61,13,2.721541,11,83
64,-1,4.353126,19,0
63,1,3.393823,18,94
62,3,3.259994,17,88
64,0,4.173592,19,92
63,2,3.260663,17,91
62,4,3.154152,16,87
64,1,3.915042,19,91
63,3,3.163972,17,79
62,5,3.093412,16,88
63,4,3.055908,16,81
62,6,3.024745,15,79
64,2,3.847305,18,88
63,5,2.955702,16,85
62,7,3.014620,14,84
64,3,3.386372,18,90
63,6,2.879608,16,83
62,8,3.004257,13,83
64,4,3.315958,17,93
62,9,2.993598,13,86
63,7,2.866660,15,84
62,10,2.981839,13,84
64,5,3.261097,16,93
63,8,2.851769,14,84
62,11,2.970185,12,72
63,9,2.850005,14,80
64,6,3.197899,15,87
65,-1,3.489414,18,0
66,-1,5.294889,19,0
64,7,3.126936,15,92
65,0,3.338175,17,96
66,0,3.642764,19,100
64,8,3.116692,14,90
65,1,3.256475,16,88
64,9,3.105807,13,77
66,1,3.510234,19,97
65,2,3.155866,15,83
64,10,3.093625,12,72
64,11,3.092120,11,73
66,2,3.445679,19,97
65,3,3.111520,14,90
64,12,3.062320,10,65
64,13,3.053363,9,56
65,4,3.039401,13,83
66,3,3.374470,19,99
64,14,3.052154,9,55
64,15,2.906224,9,78
65,5,3.019399,12,84
64,16,2.870921,10,78
66,4,3.161894,18,99
65,6,3.011399,11,78
64,17,2.850168,10,72
65,7,2.987767,10,82
67,-1,4.366304,18,0
66,5,3.016155,17,94
65,8,2.975437,9,78
65,9,2.864486,9,72
66,6,2.921103,16,79
65,10,2.831088,10,75
67,0,3.993284,19,87
65,11,2.819675,11,71
66,7,2.867570,16,80
68,-1,6.639140,19,0
67,1,3.898470,18,90
66,8,2.865418,17,73
68,0,4.603886,18,93
67,2,3.805471,17,91
69,-1,4.228179,17,0
68,1,4.276567,17,90
69,0,3.907949,18,86
67,3,3.680623,17,88
68,2,4.005123,17,86
67,4,3.604384,16,88
69,1,3.558841,18,87
68,3,3.644619,17,96
67,5,3.561715,15,91
69,2,3.485199,17,92
68,4,3.271978,16,89
67,6,3.507637,15,82
68,5,3.170784,16,90
69,3,3.393900,16,92
67,7,3.457603,14,81
68,6,3.094625,15,90
69,4,3.336060,15,86
67,8,3.396251,13,81
68,7,3.031421,15,93
69,5,3.257158,14,81
67,9,3.342248,12,76
68,8,2.967441,14,85
67,10,3.290090,11,66
69,6,3.214821,13,80
67,11,3.276936,10,71
68,9,2.952481,13,88
69,7,3.162387,12,73
67,12,3.109911,9,64
67,13,3.043467,9,61
68,10,2.926210,13,76
70,-1,3.715405,15,0
67,14,2.920642,9,69
68,11,2.916516,12,83
67,15,2.895716,9,75
70,0,3.448358,15,85
67,16,2.882448,9,76
68,12,2.861209,12,80
67,17,2.861617,8,80
71,-1,4.002096,20,0
72,-1,4.437557,19,0
70,1,3.377664,15,87
72,0,3.919552,19,96
70,2,3.305495,14,84
71,0,3.791553,19,88
72,1,3.685805,18,94
70,3,3.247652,14,89
71,1,3.733095,18,85
72,2,3.437214,17,86
70,4,3.176049,13,83
71,2,3.669035,17,81
70,5,3.102934,13,87
72,3,3.353618,16,89
72,4,3.295920,15,85
70,6,3.021544,12,87
71,3,3.625645,16,85
70,7,2.925996,12,83
72,5,3.247164,14,80
71,4,3.570919,16,84
73,-1,4.066758,17,0
72,6,3.191266,13,82
72,7,3.118166,13,86
71,5,3.531706,15,90
73,0,3.538474,17,83
72,8,3.047120,12,84
71,6,3.485022,14,89
73,1,3.399668,16,91
72,9,3.008247,11,81
72,10,2.944594,11,86
73,2,3.305116,16,78
71,7,3.434976,13,86
72,11,2.862958,11,79
71,8,3.250469,13,83
73,3,3.051907,16,92
72,12,2.843976,10,84
71,9,3.143823,13,82
72,13,2.833296,11,80
73,4,2.960024,15,95
72,14,2.808764,12,82
71,10,3.051472,12,88
73,5,2.858141,14,94
74,-1,4.510688,16,0
71,11,2.960212,12,85
73,6,2.789672,13,92
71,12,2.947776,11,81
74,0,3.743646,15,69
73,7,2.735851,12,96
71,13,2.929972,10,84
74,1,3.337123,14,73
73,8,2.720316,11,81
71,14,2.916972,11,90
73,9,2.710614,10,72
74,2,3.279493,13,76
73,10,2.705656,9,61
71,15,2.872696,11,84
73,11,2.700584,8,57
74,3,3.243055,12,71
75,-1,4.339025,20,0
71,16,2.852949,10,91
74,4,2.938503,12,70
71,17,2.851120,10,73
74,5,2.929230,11,64
75,0,4.062515,19,89
76,-1,4.491177,19,0
77,-1,5.753218,19,0
75,1,3.651274,19,86
77,0,4.024045,19,90
76,0,4.046124,20,95
75,2,3.521439,19,90
77,1,3.610730,20,90
76,1,3.824509,19,93
75,3,3.431646,19,88
77,2,3.502316,19,94
76,2,3.627595,19,92
75,4,3.352173,19,90
77,3,3.394603,18,87
76,3,3.552291,19,91
75,5,3.255860,18,79
77,4,3.287125,17,91
75,6,3.193012,17,81
77,5,3.176303,17,85
76,4,3.428410,19,94
75,7,3.089041,16,76
77,6,3.111045,16,86
76,5,3.356403,18,88
75,8,3.028547,15,70
77,7,3.041782,15,89
75,9,2.958498,14,76
76,6,3.287448,17,92
75,10,2.860859,13,63
