RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
2_16_39,16,39,2,14,3.037459546409001,16,24
6_16_39,16,39,6,8,3.5954944302304783,16,6
2_16_39,16,39,2,15,3.0305142057475702,16,6
6_16_39,16,39,6,9,3.5578885674793517,16,3
2_16_39,16,39,2,16,3.0222931564434483,16,3
2_16_39,16,39,2,17,2.938420986497254,16,1
6_16_39,16,39,6,10,3.488259264397784,16,5
3_16_39,16,39,3,7,3.8338710344541607,17,64
2_16_39,16,39,2,18,2.9279634385661,16,10
3_16_39,16,39,3,8,3.833789178171302,17,10
6_16_39,16,39,6,11,3.4879874116919134,16,16
6_16_39,16,39,6,12,3.4239344371162943,16,8
2_16_39,16,39,2,19,2.9163239472421245,15,24
3_16_39,16,39,3,9,3.0051806271249895,17,36
3_16_39,16,39,3,10,2.9412993676827086,17,1
2_16_39,16,39,2,20,2.9041443888299616,14,18
3_16_39,16,39,3,11,2.9365203133577347,18,6
2_16_39,16,39,2,21,2.868400687781396,14,4
2_16_39,16,39,2,22,2.8560969251507706,13,12
6_16_39,16,39,6,13,3.3736250857019696,15,62
3_16_39,16,39,3,12,2.931603442352372,18,58
2_16_39,16,39,2,23,2.8560969251507706,13,75
7_17_39,17,39,7,-1,3.8982310060759313,19,0
7_17_39,17,39,7,0,3.7894864399069284,19,3
7_17_39,17,39,7,1,3.7411458069029564,18,4
7_17_39,17,39,7,2,3.666934387043582,18,2
7_17_39,17,39,7,3,3.6171310473733467,17,5
7_17_39,17,39,7,4,3.566099298402527,17,10
7_17_39,17,39,7,5,3.474978986274263,17,2
7_17_39,17,39,7,6,3.420545879629807,16,2
6_17_39,17,39,6,14,3.3736250857019696,15,75
8_18_39,18,39,8,-1,4.432452271304344,18,0
7_18_39,18,39,7,7,3.2869046133659796,16,4
7_18_39,18,39,7,8,3.1777272877523415,16,3
8_18_39,18,39,8,0,4.372463580559495,18,8
8_18_39,18,39,8,1,4.261314378417875,17,7
8_18_39,18,39,8,2,4.258443365264724,17,1
3_18_39,18,39,3,13,2.931603442352372,18,75
9_19_39,19,39,9,-1,4.9278224667320165,19,0
9_19_39,19,39,9,0,4.455053200809179,20,3
8_19_39,19,39,8,3,4.222294988171238,17,8
9_19_39,19,39,9,1,4.436123671944993,19,6
8_19_39,19,39,8,4,4.22175930614338,17,9
9_19_39,19,39,9,2,4.421340007971887,19,2
9_19_39,19,39,9,3,4.356976456650249,19,3
9_19_39,19,39,9,4,4.240234838742278,19,2
9_19_39,19,39,9,5,4.234097727091604,19,2
9_19_39,19,39,9,6,3.48776906271499,19,3
9_19_39,19,39,9,7,3.4772520145533425,18,8
8_19_39,19,39,8,5,4.210523782159543,17,26
9_19_39,19,39,9,8,3.4416434862903156,18,1
9_19_39,19,39,9,9,3.438302149914895,18,3
9_19_39,19,39,9,10,3.4264751123410453,17,3
9_19_39,19,39,9,11,3.4118206642392344,16,5
9_19_39,19,39,9,12,3.4019093717240527,16,7
9_19_39,19,39,9,13,3.3920461196080147,16,2
7_19_39,19,39,7,9,3.1777272877523415,16,75
9_19_39,19,39,9,14,3.376858676273259,16,12
9_19_39,19,39,9,15,3.2870772081093307,15,11
9_19_39,19,39,9,16,3.278975287176269,15,8
9_19_39,19,39,9,17,3.2748461733742675,15,7
8_19_39,19,39,8,6,4.210523782159543,17,68
9_19_39,19,39,9,18,3.2626341403969694,15,6
9_19_39,19,39,9,19,3.262522657676791,15,6
9_19_39,19,39,9,20,3.2481496288397604,15,4
9_19_39,19,39,9,21,3.232599886174602,14,11
9_19_39,19,39,9,22,3.133893068603299,13,18
9_19_39,19,39,9,23,3.0625876025876893,13,50
9_19_39,19,39,9,24,3.0625876025876893,13,75
2_20_39,20,39,2,-1,4.867093535328837,20,0
1_21_39,21,39,1,-1,4.160522957224003,20,0
3_15_40,15,40,3,-1,4.7388989877500585,20,0
2_15_40,15,40,2,0,4.805650634489746,20,1
3_15_40,15,40,3,0,4.737072689091706,19,1
2_15_40,15,40,2,1,3.9239842271344116,21,1
3_15_40,15,40,3,1,4.61436738748521,20,5
2_15_40,15,40,2,2,3.8996369584489514,21,6
3_15_40,15,40,3,2,4.296832152058359,20,2
1_15_40,15,40,1,0,3.957336910826906,20,9
3_15_40,15,40,3,3,4.295507084422238,19,2
2_15_40,15,40,2,3,3.8627754459963137,21,4
3_15_40,15,40,3,4,4.269624259464473,19,1
2_15_40,15,40,2,4,3.8624320394029077,21,4
1_15_40,15,40,1,1,3.8990487826251887,19,7
2_15_40,15,40,2,5,3.754231986474366,21,2
1_15_40,15,40,1,2,3.659313239319357,19,5
